Country code,Country name,Series code,Series name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BGD,Bangladesh,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",161.935196562264,154.496129842966,155.245749548746,156.704433798828,157.245677445314,163.051742088556,156.769563871558,155.399259428918,153.861565681966,148.747418142414,148.023364631718,152.799924383491,150.247600531124,149.248658502544,145.860039022339,145.839589048797,145.417048263492,142.578163942338,141.611570495086,141.87212347592,
BGR,Bulgaria,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",434.899771548875,367.387479550323,369.597465937487,400.874254514035,380.061938268026,401.427434650065,438.43840956865,404.418527286572,370.72864256757,331.716106148872,320.460948896123,321.522082462664,299.70353670712,291.472036404321,263.403289356893,261.67020827446,252.578206069639,233.308360916268,216.091510144585,202.148296401423,
BHR,Bahrain,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",492.781458893203,411.610770780102,412.746371446448,393.794658762927,419.527557472156,402.187739000458,389.052170020179,411.531709105505,421.764835213721,393.202235926741,387.325275053487,383.179083894342,385.888245611053,377.800155567809,369.306352515947,368.67214609338,381.019640600231,372.242612054217,369.797154402782,,
BIH,Bosnia and Herzegovina,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",,,,,325.847502127008,280.763972210495,173.030517279217,197.319212954374,211.604407437278,191.079939520635,235.188517230512,217.643437070262,216.833247411912,208.123641209843,214.33586882434,213.925786118132,215.240389305627,208.810409840479,211.729073061133,217.679996570172,
BLR,Belarus,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",684.483620486311,674.237720779425,622.35902402126,573.633558062063,551.662947028284,569.583319089404,568.981244920343,509.458979253382,460.24504007146,433.428594312683,418.340552822364,400.918407406401,389.019108243189,374.179375086541,347.090265074783,321.866670982849,310.3120728628,276.856123815215,249.533045756545,236.78032989674,
BOL,Bolivia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",127.539017168892,124.898118124591,130.147648109716,131.319813545659,138.356582486012,148.599685165897,157.955048952758,164.974911573669,163.817871494869,154.876424377884,127.666428828898,97.677420357515,115.563283231991,118.783416180503,110.951912995216,151.385057140054,178.693737351411,143.139071993426,148.965950169346,150.235112176469,
BRA,Brazil,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",130.618483171423,131.112804461359,133.089201741026,130.329751576302,130.251550054821,129.011774679587,133.00986102186,135.211546071421,138.420247225901,141.200496397275,137.117272928195,136.142992859781,136.494586062743,137.18583380142,136.705086928033,136.129754253952,135.52342085433,134.859305993736,135.435780745113,131.684376279579,
BRN,Brunei Darussalam,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",138.713899945244,152.521546784409,156.436996753875,150.47533008961,136.7005346177,155.817184075709,151.933154412997,159.131812341139,159.366938551028,157.607132427865,154.763608670667,139.955724423291,131.478211813864,148.115160922503,148.325418833896,144.549274871472,177.394034433172,180.773476635489,201.482502532033,176.53007206844,
BWA,Botswana,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",131.30505347345,124.292060983508,139.120239179045,136.944716949655,130.242972378173,127.665425773969,117.442620757585,111.853376282169,114.613812981072,112.597744310546,109.603236561399,107.699859277031,101.419849580211,94.9554783448461,87.1943703044821,89.0571084836977,86.212272409892,85.833843667165,88.4589131299607,87.8111064203212,
CAN,Canada,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",278.56187307608,283.945526351508,288.485717551214,291.160217624798,287.582587267884,283.017647973473,284.937892092278,276.594727130472,263.712668727103,257.53116253309,251.858187987551,243.929040946155,237.325042916668,245.911020804705,243.549911660257,240.464999302903,230.692945910236,228.651142687562,222.910657148315,217.887547029207,212.395940249576
CHE,Switzerland,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",108.426408414261,111.040847559158,111.486772483541,108.910143690389,108.667699837495,106.727046063728,108.119205058251,107.992924166485,106.482912843433,105.1730755934,100.281969102667,105.237895181223,102.088877594009,102.713019281562,100.620269648508,97.3814992995209,98.1046158876976,90.13017445341,91.9285859374258,94.3393306625982,89.7851497949542
CHL,Chile,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",156.071199368917,147.906920191164,142.855232285172,136.936902228779,139.528387844139,135.804261391731,140.39739427154,147.837868169015,148.371182810213,159.020259347225,153.021571306339,145.17064488961,147.165853431743,143.154426725843,143.907911441644,139.671409826363,136.277431935414,131.475897662836,130.194674521404,130.136919225901,134.328769692815
CHN,China,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",690.666887956624,627.922681111306,568.488545825916,527.682471295534,487.946301603067,470.04657262264,442.657251948078,405.937172989813,375.926237425318,349.453174908817,325.074084563062,299.205069387024,296.943254363943,307.263051672522,325.318236392028,316.239722001307,306.669604999099,284.472645312085,279.840202181115,273.1621543151,
CIV,Cote d'Ivoire,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",180.754685561768,185.978572985287,201.270681804663,208.529770126458,212.122398433751,197.654050136067,206.563797154834,200.763483812412,191.32577398935,224.206758968233,224.290359403695,215.983959233769,234.77039172085,225.831064469896,313.70954410553,320.892076478498,315.505957170349,332.813372628356,326.669924080428,317.154645973228,
CMR,Cameroon,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",196.383935001869,206.140645641911,215.049135273331,229.89987445549,242.156560493893,238.546963869723,232.796520786939,229.491671665735,224.780190649663,216.989564321714,217.157693064082,210.230898167818,206.492851907094,206.143824589846,204.555309520244,200.674163238929,186.557398744899,170.24337120532,166.892664315633,176.992012413723,
COG,"Congo, Rep.",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",93.8258703969367,93.929089014358,92.2114065706388,93.3276706535175,89.809456189251,90.4960230964299,86.5451648828875,82.1411874939121,80.5343431543117,79.1476220098898,86.7048569207767,91.5276720166275,85.3532853879027,96.5323001222767,96.3671982395244,101.171013240981,93.8662796568494,99.9910023672312,98.6260213397719,99.0522210856017,
COL,Colombia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",119.65945949754,119.217829363359,117.787377697253,121.2860658014,118.701031141884,114.824633583047,115.197998286699,108.144928189424,112.522883062552,105.700917422934,101.763295313061,99.3991164928006,94.6078049421622,93.5148889165311,89.7744572645891,89.0199438520836,88.3036639146921,82.1490098017314,82.8191257618419,84.5002628126011,
CRI,Costa Rica,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",105.71427344887,106.723848347705,122.343152082733,101.487931183235,95.817941861578,93.6655744244234,93.078508870883,90.4358721933193,85.3111294043593,86.2085421778024,94.5443207311267,92.0793838497422,95.6333379272842,96.4475493298369,107.05216314761,104.406565697748,106.550750431362,108.99921216206,104.690826649891,106.082601387536,
CYP,Cyprus,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",129.535361523521,131.229632987746,135.350824818002,144.298635347744,159.569051945202,133.259650973287,145.150154177821,138.990762816684,137.755983914701,132.085410553517,135.269808427709,128.70987755032,127.784345245112,136.409328249161,122.562389674736,119.913922849731,119.773030494297,121.019095584778,123.995957677434,121.375267578307,
CZE,Czech Republic,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",293.064028134477,299.636625648273,292.756922113559,283.75097995674,268.960937267731,257.343257272804,255.140633566168,258.704269234471,252.4056207802,233.12714889566,236.229234166903,236.599539639996,234.755850985915,236.597153920085,232.034994610295,215.443503010621,205.921257472194,193.759040569038,184.358594590537,180.962138214926,178.307589511742
DEU,Germany,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",172.326045827373,160.757770493381,154.362359689248,154.127531838523,149.439908628385,148.258226032725,151.727740186733,147.765079784259,143.96799707294,137.95234573377,134.329116004951,136.650845773003,133.460363347827,134.858825166512,133.820195304397,130.948390381316,127.623881889045,120.884481707767,120.751586034342,120.608363652864,121.121104127798
DNK,Denmark,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",132.751342725878,145.298659543941,136.33484299152,140.126377137105,137.398067807372,132.078928868503,145.363914453645,130.530186347463,125.703820263034,117.443401807061,110.250145419206,112.822817120604,111.141372789114,117.023839215556,110.647166241164,105.001608235267,108.881759381946,104.573326198363,102.860689491298,105.063094558328,108.874821685948
DOM,Dominican Republic,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",148.679830052312,148.214162356362,158.557679117187,150.725789365545,166.793444049961,165.540535667561,160.983376184918,164.866310255547,164.43820157901,157.990697278317,157.015095993281,156.45371118186,151.810865464286,151.223040488365,134.673422709225,133.456511268017,124.444000881911,117.284185183589,109.187917840006,104.736772257753,
DZA,Algeria,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",141.222346783973,151.220718752405,152.652300393203,155.919053484611,151.657593843645,151.448063103277,141.044220123536,143.671454463653,141.381490647019,146.395344713353,145.516834377862,142.210375425856,144.268683364491,143.978228878382,138.09345434418,136.830063186417,144.113736094475,148.559454812946,147.053493621865,153.526419478744,
EAP,East Asia & Pacific,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",495.305283135071,461.017479529349,431.226736542527,411.406679430444,386.131961984108,378.02749824002,360.630441473379,340.489065060344,331.933954256217,316.255373428647,298.863132924784,281.637747485206,280.185144294451,286.564587941669,299.899977481647,292.827281389832,285.060433368102,267.629400328304,264.115930633017,259.544351090913,
ECA,Europe & Central Asia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",447.502514985234,463.990310134094,474.114826863821,472.541227016964,468.382503437888,465.109839450078,460.032770132182,431.741317905107,430.771550438801,422.932149466945,398.297402449262,387.434439638264,372.115423758531,362.167519402934,338.322290703048,318.157752411892,304.496812722881,286.257742741255,278.573733934687,276.842456079817,
ECU,Ecuador,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",106.130491980655,104.670150837242,103.490068965989,98.8027889362876,98.2913377321222,110.788716914429,118.233796566112,115.786679351254,115.396541332857,117.040257218799,118.879147497335,123.638258581604,123.570494431183,129.246201147045,128.348267924295,122.541941035101,117.784170515103,119.770684243873,108.22794605791,110.976643111374,
EGY,"Egypt, Arab Rep.",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",172.944665340058,174.093787248583,170.877857590397,177.005279836114,160.009775850201,162.325955480586,164.057338905943,161.205571601806,166.389013215341,172.47300940942,161.244909140221,160.190658722121,173.532481112376,178.539607738659,175.274550432658,182.594472289276,179.283683847118,176.402029372764,173.078089101055,164.501191012159,
EMU,Euro area,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",151.242188573384,150.105532564567,146.102368064642,146.503556592017,142.884051572679,143.794910118143,145.971521683185,142.104596916318,140.611458771756,136.75272165519,133.612184852976,134.439932080253,132.939698577212,134.955228315069,133.814978249231,131.596308900854,127.112216072991,122.381105881486,121.681483583275,120.503596847373,122.194528155502
ERI,Eritrea,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",,,549.679009418595,508.645502893208,432.82118848856,441.883345182337,424.534485201781,390.937403247901,249.721319230817,258.891049079481,300.712866604025,289.395470031134,283.488360608017,312.955728690628,285.178833711289,285.269111833531,263.135946897914,268.250164086347,279.469631436114,288.221710511079,
ESP,Spain,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",117.335831659445,118.679357944427,119.709999800738,116.054888695522,119.666570799144,121.854389338024,117.221209498488,119.967902572202,120.562339085655,120.674615988456,120.530180839841,119.225407220538,119.669383653412,119.980696624922,121.294926579602,119.375849095069,114.479609419591,112.395781391288,107.52043887975,101.788606923602,103.237123673055
EST,Estonia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",622.495958970088,615.667040150743,569.01584461627,473.879969349449,500.995977677197,448.298971579403,466.875736722772,411.322701633917,372.664218636882,349.958036702774,312.901190004262,300.82965497968,266.832157815417,273.366759402493,259.522780988527,231.842149432222,204.558357895416,213.575068560688,217.62362953553,220.608205313549,249.813234034217
ETH,Ethiopia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",564.115099338223,627.009154751046,697.300909454004,606.316636217396,608.654142850789,592.339268413535,542.019268353698,536.083698051943,572.860991422835,556.675335598256,539.021769338859,516.744065921507,521.866304006728,548.935533000823,495.603985814706,454.63516629716,422.708757178562,526.170845388687,490.413921897719,464.624700876478,
FIN,Finland,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",245.987267482527,265.526246130631,259.24162444597,274.133031183606,282.520303769478,258.599892492459,268.533780946144,262.236946881347,252.059182683603,241.795483276239,228.067081883539,228.342159374238,235.944026094021,245.494230806925,237.019750404406,212.608212603455,221.706836434317,207.728803547252,197.488022242546,202.245633921574,210.55597267423
FRA,France,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",158.317596336924,165.573428355472,160.342037264573,164.145009073719,154.479278351136,157.477974956679,164.605701560598,156.128090278757,155.623968609757,150.42398752538,146.57970513037,148.769194780694,147.843590862223,149.166122882173,147.583852574292,145.444164812166,140.237669496204,135.572011127284,137.124227887034,135.178101031438,137.372646765516
GAB,Gabon,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",85.0922038118977,82.8068830509929,91.3388847078848,92.8856040078393,81.313127263373,83.762065336173,85.4008414984523,79.7871209297204,82.9146567729036,88.647788355264,89.3647842300588,97.7027655477727,101.155481508425,100.414043080477,100.290859488348,103.949490319093,102.613601482548,104.401887168966,102.063968267198,93.3421624208098,
GBR,United Kingdom,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",151.793753213284,159.199977531079,158.408428672463,156.461745739618,151.108788867739,146.956200371389,148.984435682067,140.173001044258,136.669234940985,132.415021983866,127.939877587242,125.333720414395,119.841541862852,118.594412619663,115.017993229695,112.803279731871,108.076178945662,101.056218323408,100.104723419669,99.4807945349727,101.982441424386
GEO,Georgia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",421.53506117552,432.547686301661,676.006230764629,841.122884162226,581.140246924605,448.036366978081,404.749672997286,321.301743817006,288.275663145803,256.653816939221,259.761327085399,221.868455891279,208.246106137514,199.398781467714,193.625364148163,180.444485683112,176.094188293988,172.801805168092,151.856890838346,167.424628178387,
GHA,Ghana,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",394.290636188292,387.538025598478,386.3910540934,386.134730049646,388.955853132908,391.031944594578,386.683918966982,389.84075405841,390.489620212627,385.464789707776,378.546280239535,384.4854657291,378.35850948989,356.166436519593,342.667686717311,325.743920583832,338.801964932596,320.632230190908,294.596252445009,274.989757703766,
GRC,Greece,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",120.73755054156,118.068245477558,120.137562063256,120.551175342033,121.480125206473,120.035710071161,121.022769583385,121.396927521485,123.670245547768,120.055285624304,121.008074224254,120.067668441764,117.388972449308,114.011622877261,111.363339236049,110.861186505235,105.328933364347,100.986407872705,100.636826567247,99.4231633116497,95.5073035496417
GTM,Guatemala,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",149.180026229648,150.359245783176,149.850111732501,143.345229460998,145.045244734687,146.073675937058,146.9457383766,148.143144899656,151.165765005921,160.409698491595,159.375928556638,159.018703490421,154.790137036284,152.034768825114,154.553125438538,157.487344520767,151.178597573532,148.289776297595,137.275931769921,163.806658558871,
HIC,High income,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",189.814853195078,190.426929489219,188.946955807735,189.350429434773,186.845200964306,185.410967659823,185.42702765938,180.58967624043,176.980437778202,174.20152925173,171.270565580488,169.122972380933,167.771942051436,166.369070348489,164.817352537474,161.34083515376,156.654685370487,153.186587164199,150.656987977858,148.943522609534,146.988760553453
HKG,"Hong Kong SAR, China",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",64.0461670441247,62.2124598223409,70.4130128318938,64.7471973637241,62.957518137165,61.0947204780704,57.662974071004,52.0387366371257,72.5513390144433,86.2623094430282,67.4598673656144,70.9001252816133,64.9445608559675,65.0210438924878,56.421982809022,52.0973819974061,51.239138100074,51.8052752128162,49.9330175137235,54.2013601084034,
HND,Honduras,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",183.096839355955,178.882592962367,176.628328596285,169.937024705166,178.740422752679,182.614593227471,176.987911221415,184.137138097798,192.125798208495,172.17004884586,166.492198007287,174.799858779252,176.591679010252,182.2575084454,181.2628416535,177.301797322461,164.200214048702,182.000820208262,173.259937034695,169.226197645084,
HRV,Croatia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",140.587989258112,144.390625571372,150.526033214118,168.649180722971,158.20385802425,151.982334132389,147.275828259984,148.974767393995,150.837471764956,150.829788353301,142.146531997624,139.908509468079,138.37814020853,140.364469186606,135.131435004821,130.635263014621,125.039342913762,124.109252126405,118.309708881763,120.560659172138,
HTI,Haiti,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",,155.549696151917,170.58841061261,174.303148164838,181.837312798954,195.034572768621,214.983397978078,220.559488391095,216.006526672835,213.10138983991,204.505761514558,211.148652831385,237.98950507891,227.762857407945,243.498051155334,270.226421738566,270.775720072996,274.776619282556,272.103150121207,247.483370484448,
HUN,Hungary,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",224.919799447462,243.467046242419,230.568617061868,237.733534032711,223.875040086449,228.897474066373,232.030829402469,218.223791856607,205.033778027979,195.286610264829,180.244509543921,177.247050546734,169.837775807082,166.23930121915,158.907399407054,161.278342118317,158.598466894345,153.917150248347,151.109238226005,152.163261969407,153.922776614912
IDN,Indonesia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",273.685958564366,263.078971773833,255.502023773669,261.435146589458,244.430565665531,249.659733981351,240.821366095086,237.260119481958,266.851296499946,286.576996934419,278.147855927859,275.800743638936,274.640569870182,262.67199514584,267.685803046792,257.220162667831,252.349847783184,238.022537955153,228.682481675057,230.300705937289,
IND,India,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",299.805371568067,308.585808396461,304.218617537852,297.01622640808,289.282703536053,283.874335945985,272.441450400986,272.074544855048,262.453144454204,259.496724643519,254.378784618441,245.620705245812,243.32961521357,230.172804218954,225.229446015255,213.686293171305,205.403807490015,197.488866846228,195.293835887226,195.422174773121,
IRL,Ireland,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",161.657950521535,159.039721448186,151.88589686572,150.803436159678,149.631709839991,137.241099831324,135.92603684707,127.775043160033,125.569289468062,118.345425543898,111.178286197725,111.016225260735,104.707980099805,98.9559284197714,96.128865951541,89.8545967870751,87.0099966146107,84.1369355537693,86.4362350712424,89.9971471778695,94.7393125296043
IRN,"Iran, Islamic Rep.",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",199.466126270953,194.32633323867,190.241159539815,208.855125565924,231.090962133293,232.496264728701,219.941483343347,211.377046144814,236.123895201492,283.299483229614,263.65207768449,271.342306681534,259.673733761186,249.874681884312,259.895697955935,273.597080361916,268.293686294039,266.099795834861,275.321770608529,282.090268226988,
ISL,Iceland,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",319.735817331196,314.640800284867,323.038270487303,341.725298397509,330.331976555128,340.356683300967,344.10276893328,333.62978830142,333.318419465787,367.598486180907,369.03008743856,370.969261695664,375.756543487837,365.653713094583,349.328461479358,335.866230854212,383.68359766191,426.183216614128,451.029822759305,482.066936715122,511.985281134135
ISR,Israel,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",137.85233611215,128.421771913153,139.725006672841,138.779674391927,138.425783663733,136.094828832799,132.494946230917,135.812831195726,133.472219737215,125.731804351224,125.221446004439,131.501773294016,132.705399225391,135.184881513979,127.659946805011,124.835876610312,122.027129984496,119.014266545649,118.602996037868,113.656554379123,110.425132893303
ITA,Italy,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",108.681640595919,109.675342594011,108.153307551049,108.551452473308,104.922501299599,110.782980350113,109.485944995481,109.000861951271,110.505105410329,110.588413511679,108.678812723331,107.124063330436,106.797138212155,111.16879171002,111.058416772827,111.476098036489,108.198385019059,104.858411662204,104.465985295965,103.059051089372,105.165090741416
JAM,Jamaica,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",196.729688404353,188.272054368435,194.628594640803,178.547296179501,179.592633669192,186.726849003476,197.009688656101,199.277775727635,212.043388847992,215.865525538399,226.768242612058,224.452461132781,208.395676544129,206.382877570738,205.680185396717,202.468076179972,220.479344893197,242.182160978403,216.668554392191,169.276848985013,
JOR,Jordan,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",312.274470919052,316.935488237542,300.037590286347,284.517072866705,290.605749755225,291.837713010153,293.387734484722,290.140913777038,291.266650644689,280.834775072033,282.046866983251,265.254960302684,263.397687662454,258.512747635796,286.291470432836,284.324010024113,270.40123555523,262.183206886754,238.90843283965,246.340838634201,
